시험 문제,정답(번호),답안1,답안2,답안3,답안4,점수,카테고리
SQL에서 데이터를 삭제하는 명령어는 무엇인가요?,1,DELETE,REMOVE,DROP,TRUNCATE,10,SQL
SQL에서 데이터를 추가하는 명령어는 무엇인가요?,2,SELECT,INSERT,UPDATE,DELETE,10,SQL
SQL에서 INNER JOIN의 결과는 무엇인가요?,3,왼쪽 테이블의 모든 행을 반환,오른쪽 테이블의 모든 행을 반환,두 테이블에 일치하는 행만 반환,테이블을 병합하지만 일치하지 않는 행도 반환,10,SQL
SQL에서 테이블을 삭제하는 명령어는 무엇인가요?,3,DELETE,REMOVE,DROP,TRUNCATE,10,SQL
SQL에서 NULL 값을 비교할 때 사용하는 연산자는 무엇인가요?,1,IS NULL,#NAME?,<> NULL,!= NULL,10,SQL
SQL에서 GROUP BY 절의 주요 목적은 무엇인가요?,2,데이터를 순서대로 정렬,데이터를 특정 조건에 맞게 나누고 집계하기,데이터를 변경하기,데이터를 삭제하기,10,SQL
SQL에서 HAVING 절은 무엇을 필터링하나요?,2,행의 값,그룹화된 결과,특정 테이블,집계 함수의 결과,10,SQL
SQL에서 ORDER BY 절은 어떤 작업을 수행하나요?,1,데이터를 정렬한다,데이터를 삭제한다,데이터를 그룹화한다,데이터를 삽입한다,10,SQL
SQL에서 DISTINCT 키워드의 역할은 무엇인가요?,2,모든 행을 반환,중복된 데이터를 반환하지 않는다,데이터를 집계한다,데이터를 삭제한다,10,SQL
SQL에서 UPDATE 명령어는 무엇을 변경하나요?,2,테이블 구조,데이터 값을,테이블 이름,데이터베이스 이름,10,SQL
